SOURCE_NUMBER,NAME,RA,DEC,Uncert (arcmin),REDSHIFT,REDSHIFT_FLAG,FLUX_1P4_GHZ,RMAG,XRAY_FLUX,OBJECT_TYPE,LII,BII,FLUX_143_GHZ,GR_PHOTON_FLUX,RO_SPECTRAL_INDEX
1343,[MML2015] 5BZQ J0941-8615,145.481708,-86.2505,0.016666667,3.697,,81,20,,QSO RLOUD FLAT RADIO SP.,299.899283,-24.556905,0,,0.624
1491,[MML2015] 5BZB J1026-8543,156.643667,-85.720639,0.016666667,,,267,16.9,2.60E-13,BL LAC,300.173251,-23.649011,0,9.00E-10,0.502
119,[MML2015] 5BZQ J0044-8422,11.110667,-84.377778,0.016666667,1.032,,530,17.8,,QSO RLOUD FLAT RADIO SP.,303.135593,-32.747707,0,7.00E-10,0.652
2098,[MML2015] 5BZQ J1322-8419,200.615542,-84.326139,0.016666667,1.139,,100,18.4,,QSO RLOUD FLAT RADIO SP.,303.75361,-21.503953,0,,0.592
3251,[MML2015] 5BZQ J2202-8338,330.580083,-83.636608,0.016666667,1.865,,1100,19.3,,QSO RLOUD FLAT RADIO SP.,307.962149,-31.74611,408,2.90E-09,0.827
775,[MML2015] 5BZQ J0533-8324,83.403208,-83.409469,0.016666667,0.774,,84,20,,QSO RLOUD FLAT RADIO SP.,295.814412,-29.143215,0,1.30E-09,0.675
1908,[MML2015] 5BZU J1224-8313,186.226542,-83.219469,0.016666667,,,510,19.7,,BLAZAR UNCERTAIN TYPE,302.098273,-20.390707,0,5.00E-10,0.803
127,[MML2015] 5BZQ J0047-8256,11.964083,-82.947058,0.016666667,1.112,,204,16.8,,QSO RLOUD FLAT RADIO SP.,303.06481,-34.180269,0,,0.506
936,[MML2015] 5BZB J0723-8247,110.914208,-82.794747,0.016666667,,,203,20.2,,BL LAC,294.996966,-25.896196,188,3.00E-10,0.744
1288,[MML2015] 5BZU J0921-8209,140.427917,-82.160058,0.016666667,1.291,,212,,,BLAZAR UNCERTAIN TYPE,296.226279,-22.191483,133,,
56,[MML2015] 5BZB J0019-8152,4.83575,-81.880919,0.016666667,,,83,16.1,5.10E-13,BL LAC,304.31364,-35.161048,0,9.00E-10,0.298
2706,[MML2015] 5BZB J1642-8108,250.738958,-81.143078,0.016666667,,,192,18.1,,BL LAC,311.027847,-22.190537,0,,0.641
243,[MML2015] 5BZB J0127-8108,21.7925,-81.139078,0.016666667,,,1075,16.7,6.76E-12,BL LAC,301.240463,-35.871513,0,,0.494
1803,[MML2015] 5BZU J1155-8101,178.94225,-81.021689,0.016666667,1.395,?,557,20,,BLAZAR UNCERTAIN TYPE,300.664871,-18.395958,0,1.00E-10,0.712
704,[MML2015] 5BZQ J0450-8101,72.522667,-81.017278,0.016666667,0.444,,821,18.8,4.50E-13,QSO RLOUD FLAT RADIO SP.,293.850989,-31.370995,951,,0.799
163,[MML2015] 5BZQ J0102-8012,15.561708,-80.210939,0.016666667,1.169,,113,19.8,1.70E-13,QSO RLOUD FLAT RADIO SP.,302.35756,-36.905255,0,,0.724
2975,[MML2015] 5BZQ J1912-8010,288.166708,-80.168308,0.016666667,1.756,,1200,19.2,,QSO RLOUD FLAT RADIO SP.,313.993287,-27.603077,298,,0.826
2989,[MML2015] 5BZQ J1923-8007,290.774083,-80.124669,0.016666667,1.481,,268,20,,QSO RLOUD FLAT RADIO SP.,314.029518,-28.050221,0,,0.735
1600,[MML2015] 5BZB J1058-8003,164.680458,-80.065058,0.016666667,0.581,,546,17.3,4.30E-13,BL LAC,298.009456,-18.288129,1513,2.70E-09,0.633
2980,[MML2015] 5BZQ J1916-7946,289.184708,-79.77275,0.016666667,0.204,,48,18,6.50E-13,QSO RLOUD FLAT RADIO SP.,314.437854,-27.784554,0,,0.473
2823,[MML2015] 5BZQ J1733-7935,263.419542,-79.598808,0.016666667,0.876,,354,17.6,,QSO RLOUD FLAT RADIO SP.,313.611603,-23.266865,0,,0.609
574,[MML2015] 5BZQ J0351-7921,57.85625,-79.365639,0.016666667,1.333,,57,18.6,,QSO RLOUD FLAT RADIO SP.,293.838142,-34.353234,0,,0.534
467,[MML2015] 5BZQ J0303-7914,45.837,-79.249028,0.016666667,1.115,,126,20.2,,QSO RLOUD FLAT RADIO SP.,295.725454,-35.962154,0,6.00E-10,0.733
2579,[MML2015] 5BZQ J1556-7914,239.24525,-79.234528,0.016666667,0.152,,6165,17.2,5.60E-13,QSO RLOUD FLAT RADIO SP.,311.178666,-19.468346,0,,0.777
396,[MML2015] 5BZQ J0229-7847,37.395625,-78.796,0.016666667,1.07,,352,18.8,,QSO RLOUD FLAT RADIO SP.,297.117913,-37.200442,0,,0.715
852,[MML2015] 5BZQ J0618-7843,94.625375,-78.717278,0.016666667,0.942,,214,17,3.60E-13,QSO RLOUD FLAT RADIO SP.,290.243226,-28.171309,0,,0.549
2319,[MML2015] 5BZQ J1423-7829,215.931458,-78.493028,0.016666667,0.789,,258,19.4,1.10E-13,QSO RLOUD FLAT RADIO SP.,307.607891,-16.46792,0,1.20E-09,0.686
480,[MML2015] 5BZQ J0308-7812,47.178292,-78.211558,0.016666667,1.326,,112,19,,QSO RLOUD FLAT RADIO SP.,294.680631,-36.622261,0,,0.615
3210,[MML2015] 5BZQ J2147-7812,326.774292,-78.206078,0.016666667,0.732,,292,18.6,,QSO RLOUD FLAT RADIO SP.,313.277439,-34.926548,0,,0.679
