NAME,RA,DEC,SPECT_TYPE,MIN_MAG_LIMIT,MIN_MAG,MAX_MAG_LIMIT,MAX_MAG,VARIABILITY_TYPE,PERIOD_LIMIT,PERIOD,PERIOD_FLAG,LII,BII,EPOCH,EPOCH_PRECISION,NOVA_YEAR,NOVA_YEAR_FLAG
V2030 Aql,286.99425,8.72919,pec(Nova),>,17.4,,13.5,NA,,,,42.57838,0.33088,,0,2021,
V3732 Oph,263.31179,-27.71972,pec(Nova),,22.2,,14.3,N+E,,,,359.58114,2.95247,,0,2021,
V6595 Sgr,269.56704,-29.24906,pec(Nova),>,24.0,,7.46,NA,,,,1.13944,-2.53667,,0,2021,
V1711 Sco,264.93642,-36.27794,pec(Nova),>,21.0,,11.1,NA,,,,353.10268,-2.80937,,0,2021,
V1710 Sco,257.28379,-37.51136,pec(Nova),>,22.0,,8.53,NA,,,,348.63838,1.55355,,0,2021,
V1391 Cas,2.929,66.18911,pec(Nova),>,21.0,,10.8,N,,,,118.93158,3.62637,59072.0,0,2020,
V2029 Aql,288.60958,14.2445,pec(Nova),>,22.0,,14.6,N,,,,48.20136,1.47686,59010.0,0,2020,
V2000 Aql,280.97221,0.06372,pec(Nova),>,22.0,,15.6,NA,,,,32.12784,1.70865,58957.0,0,2020,
V670 Ser,272.67617,-15.57181,pec(Nova),>,22.0,,12.4,NA,,,,14.46806,1.67131,58902.0,0,2020,
V6567 Sgr,275.68883,-19.60061,pec(Nova),>,22.0,,12.5,N,,,,12.2862,-2.76902,59017.0,0,2020,
V6593 Sgr,268.75,-21.37781,pec(Nova),>,19.2,,10.3,NA,,,,7.57857,2.05258,59127.0,0,2020,
V6566 Sgr,269.0585,-29.71617,pec(Nova),>,22.0,,11.0,NA,,,,0.51299,-2.38684,58880.0,0,2020,
V6568 Sgr,269.53533,-30.09331,pec(Nova),>,22.0,,9.9,N,,,,0.39283,-2.93336,59046.0,0,2020,
V1708 Sco,260.92475,-31.05211,pec(Nova),,18.2,,13.2,NC:+SR,,,,355.64973,2.84358,59102.0,0,2020,
V1709 Sco,258.00075,-40.29908,pec(Nova),>,21.0,,12.7,NA,,,,346.7242,-0.54862,58945.0,0,2020,
YZ Ret,59.62313,-54.77811,pec(Nova),,18.0,,3.7,NA,,,,265.39745,-46.39543,59042.0,0,2020,
V2891 Cyg,317.35638,49.18117,pec(Nova),>,20.8,,14.8,N,,,,90.3305,0.89352,58772.0,0,2019,
V569 Vul,298.03438,27.70581,pec(Nova),>,22.0,,13.3,NA,,,,64.22851,0.32906,58714.0,0,2019,
V2860 Ori,92.48937,12.207,pec(Nova),>,18.0,,10.1,NA,,,,197.33346,-3.44933,58704.0,0,2019,
V659 Sct,279.99875,-10.42831,pec(Nova),>,22.0,,8.36,NA,,,,22.35167,-2.22657,58787.0,0,2019,
V3731 Oph,264.64513,-25.318,,>,22.0,,13.3,N,,,,2.25154,3.23711,58677.0,0,2019,
V3730 Oph,264.63258,-29.06308,pec(Nova),>,23.0,,12.3,N,,,,359.07445,1.25006,58741.0,0,2019,
V1707 Sco,264.28975,-35.17314,pec(Nova),>,21.0,,11.7,NA,,,,353.75783,-1.7761,58741.0,0,2019,
V1706 Sco,256.89238,-36.13978,pec(Nova),,21.3,,12.2,N,,,,349.55187,2.62409,58657.0,0,2019,
V3721 Oph,275.09142,7.18536,,,18.3,,11.7,XN,,,,35.85357,10.15917,58205.0,0,2018,
V613 Sct,277.34558,-14.51228,pec(Nova),>,20.0,,10.43,NA,,,,17.53123,-1.80373,58300.0,0,2018,
V5857 Sgr,271.03938,-18.0655,pec(Nova),>,21.0,,10.6,NA,,,,11.52595,1.82892,58219.0,0,2018,
V3666 Oph,265.60046,-20.88578,pec(Nova),>,22.0,,9.0,NA,,,,6.49178,4.82664,58344.0,0,2018,
V435 CMa,108.441,-21.20869,pec(Nova),,21.3,,10.0,NA,,,,234.31551,-4.8335,58215.0,0,2018,
